step,cefr_level,grammar_category,sub_category,guideword,learning_objective,example_sentence,lexical_range
24,A1,CLAUSES,declarative,FORM: AFFIRMATIVE DECLARATIVE,Can form simple affirmative declarative clauses.,I study English at college.,
25,A1,CLAUSES,declarative,FORM: NEGATIVE DECLARATIVE WITH 'BE',Can form a simple negative declarative clause with lexical 'be' + 'not' or 'n't'.,My college is not very big.,
26,A1,CLAUSES,declarative,"FORM: NEGATIVE DECLARATIVE, LEXICAL VERBS",Can form simple negative declarative clauses.,I don't like maths.,
27,A1,CLAUSES,declarative,"FORM: AFFIRMATIVE DECLARATIVE, MODAL AUXILIARY VERBS",Can form an affirmative declarative clause with modal verbs.,I can go to see her tomorrow.,
28,A1,CLAUSES,interrogatives,"FORM: AFFIRMATIVE INTERROGATIVE, WITH 'BE'",Can form interrogative clauses with 'be'.,How are you?,
29,A1,CLAUSES,subordinated,"FORM/USE: 'BECAUSE', REASONS","Can use a finite subordinate clause with 'because', after a main clause, to introduce reasons.",I love her because she is friendly.,
30,A1,CONJUNCTIONS,coordinating,FORM: PHRASE + PHRASE,"Can use single word conjunctions ('and, but, or') to combine phrases.",My home is very light and very comfortable.,
31,A1,CONJUNCTIONS,coordinating,FORM: SENTENCE + SENTENCE,"Can use single word conjunctions ('and, but, or') to combine sentences.","I like it because there are lots of shops, it is not too busy and there is lots of parking. And I like my home because it's not too big and it's a very nice flat.",
32,A1,CONJUNCTIONS,coordinating,USE: LISTING,Can use 'and' and 'or' before the final item in a list.,"I like to eat chicken, mushrooms and some vegetables.",
33,A1,CONJUNCTIONS,coordinating,FORM: CLAUSE + CLAUSE,"Can use single word conjunctions ('and, but, or') to combine clauses.",He is a journalist and he likes everything about cinema.,
34,A1,CONJUNCTIONS,coordinating,FORM: WORD + WORD,"Can use single word conjunctions ('and, but, or') to connect single nouns and adjectives.",I like chicken and rice. I don't like meat and fish.,
35,A1,CONJUNCTIONS,coordinating,"USE: 'BUT', CONCESSIVE",Can use 'but' to add an unexpected contrast.,"I really like my home, it is very small but it is very easy to clean.",
36,A1,CONJUNCTIONS,subordinating,FORM: 'BECAUSE' ,Can use 'because' as a subordinating conjunction to introduce a subordinate clause.,I want a big garden because I have children.,
37,A1,DETERMINERS,articles,FORM: WITH NOUNS ,"Can use articles 'the', 'a' and 'an' before nouns. ► noun phrases",She lives in a small flat in the town - it's great!,
38,A1,DETERMINERS,articles,FORM: 'A' + 'VERY' + ADJECTIVES,Can use 'a' + 'very' + adjectives in basic noun phrases. ► adverbs ►  noun phrases,He's a very good man.,
39,A1,DETERMINERS,articles,FORM: 'A' + ADJECTIVES,Can use 'a' and 'an' before adjectives in a noun phrase. ► adjectives ►  noun phrases,"You can make a quick snack, for example a sandwich.",1.0
40,A1,DETERMINERS,articles,FORM: PREPOSITION + 'THE' + NOUN,Can use 'the' in prepositional phrases relating to time.,I work at the weekend and I'm very busy from Monday to Friday.,1.0
41,A1,DETERMINERS,articles,FORM: PREPOSITION + NO ARTICLE,Can use no article before a limited range of nouns in some fixed expressions with prepositions.,"If you are at home, I can come tomorrow.",1.0
42,A1,DETERMINERS,articles,FORM/USE: NO ARTICLE,"Can use no article before a limited range of singular, plural and uncountable nouns when referring to things in general.",In my free time I usually play football.,1.0
43,A1,DETERMINERS,demonstratives,"USE: 'THIS', POINTING",Can use 'this' in a limited range of contexts to refer to places from the speaker's or writer's point of view. ► noun phrases ►  pronouns: demonstrative,I want to let you know about this area and the shops near here.,1.0
44,A1,DETERMINERS,demonstratives,"USE: 'THIS', FUTURE",Can use 'this' with time and date words to refer to 'the one that's coming'.,"… this summer I want to spend my holiday in my country, Bulgaria.",
45,A1,DETERMINERS,demonstratives,FORM: 'THIS' WITH SINGULAR NOUNS,Can use 'this' with singular nouns. ► noun phrases ►  pronouns: demonstrative,I like this place because is very nice and quiet.,1.0
46,A1,DETERMINERS,possessives,FORM: WITH NOUNS,"Can use possessive determiners 'my', 'your', 'his', 'her' and 'our' before nouns. ► noun phrases ► possessive pronouns",I live with my family. My home is a flat.,
47,A1,DETERMINERS,quantity,FORM: WITH PLURAL NOUNS ,"Can use a limited range of quantifying determiners with plural nouns ('some', 'lots of', 'a lot of' and numbers).",Near my home there are some shops.,1.0
48,A1,DETERMINERS,quantity,FORM: WITH SINGULAR NOUNS,"Can use a limited range of quantifying determiners with singular nouns ('a', 'every').► determiners: articles",In my home are 3 bedrooms. I have a big kitchen and small toilet.,1.0
49,A1,FUTURE,future simple (with will and shall),FORM: AFFIRMATIVE 'WILL',Can use the affirmative forms 'will' and ''ll'.,I will see you soon.,
50,A1,FUTURE,future simple (with will and shall),USE: PLANS AND INTENTIONS WITH 'WILL',Can use 'will' and ''ll' to talk about plans and intentions.,I will try to come to see you tomorrow.,
51,A1,MODALITY,can,FORM: AFFIRMATIVE,Can use the affirmative form.,You can see a lot of special places in Wroclaw.,
52,A1,MODALITY,can,FORM: QUESTION ,Can use the affirmative question form.,Can you come for dinner Monday at 6.00 pm?,
53,A1,MODALITY,can,FORM: NEGATIVE ,Can use the negative forms.,I cannot come to see you.,
54,A1,MODALITY,can,USE: OFFERS,Can use 'can' to make an offer.,Can I help you?,
55,A1,MODALITY,can,USE: ABILITY,Can use 'can' to talk about ability to do something.,I can cook.,
56,A1,MODALITY,can,USE: REQUESTS,Can use 'can' to make a request.,Can you come on Sunday at seven o’clock?,
57,A1,MODALITY,can,USE: POSSIBILITY,Can use 'can' to talk about possibility.,"The shop is next to the post office. There you can find milk, juices and sweets but you can't buy meat.",
58,A1,MODALITY,will,FORM: AFFIRMATIVE,Can use the affirmative forms.,I will be at your house at 7.30 because I have an appointment before.,
59,A1,MODALITY,will,USE: PLANS AND INTENTIONS,Can use 'will' to talk about plans and intentions.,I will bring some music to the dinner.,
60,A1,MODALITY,would,USE: INVITATIONS WITH 'LIKE',Can use 'would like to invite' to make invitations.,I would like to invite you to dinner in my house on Saturday at 7 30 pm.,
61,A1,MODALITY,would,FORM: AFFIRMATIVE WITH 'LIKE',Can use the affirmative form with 'like'.,I'd like to invite you to dinner.,
62,A1,MODALITY,would,USE: WISHES AND PREFERENCES WITH 'LIKE',Can use 'would like' to talk about wishes and preferences.,"If possible, I'd like to come to see you on Tuesday afternoon.",
63,A1,NEGATION,negation,"FORM: AUXILIARY VERB 'DO', PRESENT",Can form negative statements of main verbs in the present simple with 'don't' + main verb. ► present simple ► can,"I don't have a dining room, so we eat in the living room.",
64,A1,NEGATION,negation,FORM: MAIN VERB 'BE',"Can form negative statements of main verb 'be', with contracted and uncontracted forms.",My college is not very big.,
65,A1,NEGATION,negation,FORM: MODAL VERB 'CAN',Can use negative form 'can’t'.,"In winter, we can't go visiting because it is too cold.",
66,A1,NOUNS,noun phrases,FORM: ADJECTIVE + PLURAL NOUN,Can form simple noun phrases by pre-modifying plural nouns with an adjective and no determiner.,I have new neighbours.,
67,A1,NOUNS,noun phrases,FORM: DETERMINER + ADJECTIVE + NOUN,Can form simple noun phrases by pre-modifying singular and plural nouns with an adjective after a determiner.,Martin is my best friend.,
68,A1,NOUNS,noun phrases,FORM: DETERMINER + NOUN,Can form simple noun phrases with a limited range of determiners + singular and plural nouns. ► Nouns and noun phrases: functions,There is also a park near my house.,1.0
69,A1,NOUNS,noun phrases,FORM: NOUN + NOUN,Can form noun phrases by pre-modifying a limited range of nouns with another noun.,Every Friday I go swimming and play computer games.,
70,A1,NOUNS,noun phrases - grammatical functions,FORM: AS SUBJECTS ,Can use nouns and noun phrases as subjects of the clause.,His name is Stanislav.,
71,A1,NOUNS,noun phrases - grammatical functions,FORM: AS COMPLEMENT OF PREPOSITIONS,Can use nouns and noun phrases as complements of prepositions in prepositional phrases.,I invite you and your family to come to my house for dinner.,
72,A1,NOUNS,noun phrases - grammatical functions,FORM: AS OBJECTS,Can use nouns and noun phrases as objects of the clause.,I love my house.,
73,A1,NOUNS,noun phrases - grammatical functions,FORM: AS ADJUNCTS,Can use nouns and noun phrases as adjuncts in some time expressions.,"But if not, then I will see you tomorrow morning.",
74,A1,NOUNS,noun phrases - grammatical functions,FORM: AS COMPLEMENT OF 'BE',Can use nouns and noun phrases as complements of the verb 'be'.,There is a big garden.,
75,A1,NOUNS,plural,FORM: PLURAL '-S',Can form plurals by adding '-s' to common countable nouns.,We play computer games.,
76,A1,NOUNS,types,FORM: PROPER NOUNS,"Can use proper nouns with a capital letter to refer to specific people, places, days and things.",I want to see you on Saturday and Sunday.,
77,A1,NOUNS,types,FORM: COMMON NOUNS,Can use a limited range of common nouns.,My house is in Ilford.,1.0
78,A1,NOUNS,types,FORM: COMPOUND NOUNS,"Can use a range of compound nouns, as one-word, two-word and hyphenated compounds, formed from verb + noun, noun + noun and adjective + noun combinations.",She likes to go to the swimming pool and to the gym.,
79,A1,PAST,past simple,FORM: AFFIRMATIVE,Can use the affirmative form with a limited range of regular and irregular verbs.,Every day at college I went to class at 9 am.,1.0
80,A1,PAST,past simple,USE: EVERYDAY EVENTS AND STATES,Can use the past simple to talk about everyday events or states.,The people were very polite.,
81,A1,PREPOSITIONS,prepostions,FORM: PREPOSITION + NOUN PHRASE,Can form prepositional phrases with a preposition and a noun phrase.,"When I have free time, I go to the park with my dog.",
82,A1,PREPOSITIONS,prepostions,FORM: SIMPLE,Can use a limited range of simple (single-word) prepositions.,I'm sending some flowers to you.,1.0
83,A1,PRESENT,present continuous,FORM: AFFIRMATIVE,Can use the affirmative form.,"I am sending you some flowers, because you are not well.",
84,A1,PRESENT,present continuous,USE: EVENTS IN PROGRESS,Can use the present continuous with a limited range of verbs to talk about situations and events in progress.,[in a message to someone who is ill] We are missing you.,1.0
85,A1,PRESENT,present simple,FORM: NEGATIVE,Can use the negative form with a limited range of regular and irregular verbs.,I don't like meat and fish.,1.0
86,A1,PRESENT,present simple,USE: HABITS AND GENERAL FACTS,"Can use the present simple to talk about repeated events or habits, and general facts.",I work in a supermarket.,
87,A1,PRESENT,present simple,FORM: AFFIRMATIVE,Can use the affirmative form with a limited range of regular and irregular verbs.,Every day at college I learn new words and new things.,1.0
88,A1,PRESENT,present simple,FORM: WITH 'REALLY',Can use the present simple with the adverb 'really' as an intensifier. ► adverbs,"I really like my kitchen, because it is big and new and it makes my cooking easy.",
89,A1,PRONOUNS,"indefinite - thing, -one, -body etc",FORM: OBJECT,Can use a limited range of indefinite pronouns as objects.,I like doing everything at College because I love my college …,1.0
90,A1,PRONOUNS,"indefinite - thing, -one, -body etc","FORM: 'EVERYTHING', SUBJECT","Can use 'everything' as subject, with a singular verb.",I hope everything is all right.,
91,A1,PRONOUNS,subject/ object,FORM: (SUBJECT) QUESTIONS WITH 'BE',Can use the pronouns 'you' and 'it' after 'be' in question forms.,"Hi, Mrs. Bishop. How are you? (Skills for Life (Entry 1); ; A1 BREAKTHROUGH; 2009; Tagalog; Pass)",
92,A1,PRONOUNS,subject/ object,FORM: (OBJECT) 'IT',Can use the pronoun 'it' as a direct object to refer to an object or situation already referred to.,The maths is boring and I don't like it. (Skills for Life (Entry 1); A1; Portuguese),2.0
93,A1,PRONOUNS,subject/ object,FORM: (OBJECT) WITH PREPOSITION ,"Can use the object pronouns 'me', 'you', 'him', 'her', 'it', 'us' and 'them' in the object position after prepositions.",I really like to learn new words. It's very important for me. (Skills for Life (Entry 1); A1; Polish),
94,A1,PRONOUNS,subject/ object,FORM: (SUBJECT) QUESTIONS,"Can use the pronouns 'I', 'you', 'we' and 'they' after an auxiliary or modal verb in question forms.",Can I help you? (Skills for Life (Entry 1); A1; Arabic – other),
95,A1,PRONOUNS,subject/ object,"FORM: (OBJECT) 'ME', 'YOU', 'HER', 'HIM', 'US', 'THEM' ","Can use the pronouns 'me', 'you', 'him', 'her', 'us' and 'them' in the direct object position after a transitive verb.",I'm very happy that you want to see me. (Skills for Life (Entry 1); A1; German),2.0
96,A1,PRONOUNS,subject/ object,FORM: (SUBJECT) 'IT' FOR FIRST PERSON,Can use the pronoun 'it' before 'be' to refer to a first person speaker or writer.,Hello Mrs Bishop. It's Clarisse (Skills for Life (Entry 1); A1; French),3.0
97,A1,PRONOUNS,subject/ object,FORM: (SUBJECT) STATEMENTS,"Can use the pronouns 'I', 'you', 'he', 'she', 'it', 'we' and 'they' in the subject position before a verb in statements.",In my free time I go shopping and I like swimming. (Skills for Life (Entry 1); A1; Polish),
98,A1,QUESTIONS,yes/no,FORM: MODAL VERBS,Can use a limited range of modal verbs + subject + main verb to form 'yes/no' questions.  ► can,Can you come to dinner in my house?,1.0
99,A1,VERBS,linking,FORM: 'BE' + COMPLEMENT,Can use linking verb 'be' with complements.,Because today is my birthday.,
100,A1,VERBS,patterns_with to and -ing,FORM: VERB + 'TO'-INFINITIVE,Can use a limited range of verbs followed by a 'to'- infinitive.,I like to go to the zoo.,1.0
101,A1,VERBS,patterns_with to and -ing,FORM: 'WOULD LIKE TO',Can use 'would like to' + infinitive.,I would like to meet you to give you some information about the Brannl State and the shops near her.,
102,A1,VERBS,patterns_with to and -ing,FORM: 'LIKE' + 'TO'-INFINITIVE OR + '-ING',"Can use 'like' followed either by a 'to'-infinitive or an '-ing' form, with no change in meaning.",I like to work with my teacher.,
103,A1,VERBS,prepositional,FORM: VERB + PREPOSITION + OBJECT,Can use a limited range of prepositional verbs followed by noun or pronoun objects.,"I listen to music in the living room, and also eat my breakfast, lunch and dinner.",1.0
104,A1,VERBS,there is/are,FORM: 'THERE IS',Can use 'there is' + singular noun phrase as complement.,"My home is nice, there is a nice garden.",
105,A1,VERBS,there is/are,FORM: 'THERE ARE',Can use 'there are' + plural noun phrase as complement.,There are two bathrooms.,
106,A1,VERBS,types,FORM: AUXILIARY VERB 'BE' ,Can use auxiliary verb 'be'. ►  present continuous,I am writing to tell you what I do every day at college.,
107,A1,VERBS,types,FORM: MODAL AUXILIARY VERBS,"Can use a limited range of modal auxiliary verbs ('can', 'will', 'would').",Can you bring some music with you to the dinner.,1.0
108,A1,VERBS,types,"FORM: LINKING VERB, 'BE'",Can use linking verb 'be'.,I am 22 years old.,
109,A1,VERBS,types,FORM: MAIN VERBS,Can use regular and irregular main verbs in simple verb phrases. ► present simple ► past simple,"You know, I love your cooking!",
110,A2,ADJECTIVES,combining,FORM: COMBINING TWO ADJECTIVES WITH 'BUT',"Can use 'but' to join a limited range of common adjectives, after 'be'.",The weather was cloudy but fine.,
111,A2,ADJECTIVES,comparatives,FORM: + -IER,Can form comparative adjectives with adjectives of two syllables ending in '-y' by changing the 'y' to an 'I' and adding '-er'.,I like it because it's small and easier to use than other phones.,
112,A2,ADJECTIVES,comparatives,FORM: BEFORE NOUNS,"Can use comparative adjectives attributively, before nouns.",I just watched a cricket match with my younger brother and my father.,
113,A2,ADJECTIVES,comparatives,FORM: + -ER,Can form comparative adjectives from adjectives of one syllable by adding '-er'.,I played computer games with my older brother.,
114,A2,ADJECTIVES,comparatives,FORM: WITH 'MORE',Can form a range of comparative adjective phrases using 'more' + longer adjectives (usually three or more syllables).,I think you must be more careful.,
115,A2,ADJECTIVES,comparatives,FORM: ENDING IN '-E' + '-R' ,"Can form comparative adjectives with adjectives of one syllable ending in 'e', by adding '-r'.",[talking about an alternative plan] I think it will be nicer.,
116,A2,ADJECTIVES,comparatives,FORM: COMPLEMENT OF 'BE' ,Can use comparative adjectives as a complement of 'be'.,"Sam, It would be better if you came after 4.30 p.m.",
117,A2,ADJECTIVES,comparatives,FORM: IRREGULAR,Can form irregular comparative adjectives.,What colour do you think is better?,
118,A2,ADJECTIVES,comparatives,FORM: DOUBLE CONSONANT + '-ER',"Can form comparative adjectives with adjectives of one syllable with a short vowel, by doubling the final consonant and adding '-er'","The rooms are all very beautiful, but I prefer my room because is bigger.",
119,A2,ADJECTIVES,comparatives,FORM: WITH 'THAN',Can use a comparative adjective with 'than' to compare two nouns or noun phrases.► comparative clauses,It's smaller than my old phone and I like it because it has bluetooth and it isn't very expensive.,
120,A2,ADJECTIVES,modifying,FORM: WITH 'TOO',Can use 'too' with common gradable adjectives.,They aren't too expensive. They cost like £30.,
121,A2,ADJECTIVES,modifying,FORM: WITH PREPOSITIONAL PHRASE,Can form adjective phrases with a very limited range of adjectives + a prepositional phrase.,I think swimming is good for my body.,
122,A2,ADJECTIVES,modifying,FORM: WITH 'TOO' + PREPOSITIONAL PHRASE,Can use 'too' + adjective + prepositional phrase,I bought them because I noticed that most of my clothes were too small for me.,
123,A2,ADJECTIVES,modifying,FORM: WITH DEGREE ADVERBS,"Can use adverbs of degree ('really', 'so', 'quite') with an increasing range of common gradable adjectives.",It was sunny and really hot every day!,
124,A2,ADJECTIVES,position,FORM/USE: LIMITING ADJECTIVES,"Can use a limited range of adjectives ('main', 'only') that limit the noun that they go before.",…the main reason is that I am practising the language.,1.0
125,A2,ADJECTIVES,position,"FORM: PREDICATIVE, WITH 'BE'","Can use an increasing range of adjectives predicatively, after 'be'.","Yes, I am free Monday morning.",2.0
126,A2,ADJECTIVES,position,"FORM: PREDICATIVE, WITH LINKING VERBS","Can use a limited range of adjectives predicatively, after linking verbs 'look' and 'feel'.",It is black and it looks perfect.,1.0
127,A2,ADJECTIVES,superlatives,FORM/USE: COMPLEX NOUN PHRASES,"Can form a limited range of complex noun phrases with a superlative adjective  + prepositional phrase, to talk about something unique.► noun phrases ►  clauses: comparison",It is the biggest zoo in the world.,1.0
128,A2,ADJECTIVES,superlatives,FORM/USE: WITH 'OF' + NOUN,"Can use a limited range of prepositional phrases with 'of' after a superlative adjective, to refer to one thing within a set or part of a set.",My teacher said that it was the best project of all.,
129,A2,ADJECTIVES,superlatives,FORM/USE: WITH 'IN' + NOUN,Can use prepositional phrases with 'in' + singular name of a place after a superlative adjective.,It's the biggest room in the house.,
130,A2,ADJECTIVES,superlatives,FORM: WITH '-EST' ,"Can form superlative adjectives using the '-est' suffix, with adjectives of one syllable, and with two-syllable adjectives ending in -y.",The easiest way to get my house is by Underground.,
131,A2,ADJECTIVES,superlatives,FORM: WITH 'MY' OR 'YOUR',"Can form a noun phrase with 'my' or 'your' + superlative adjective + noun, with a limited range of nouns and contexts. ► noun phrases",I bought these clothes for my youngest brother....,
132,A2,ADJECTIVES,superlatives,FORM: WITH '-EST',"Can form superlative adjectives with adjectives of one syllable with a short vowel, by doubling the final consonant and adding '–est'.",… it's the biggest and oldest museum in Libya.,
133,A2,ADJECTIVES,superlatives,FORM: WITH 'THE',Can form a noun phrase with 'the' + superlative adjective + noun. ► noun phrases,It has the latest technology.,
134,A2,ADJECTIVES,superlatives,FORM: WITH '-ST' ,Can form superlative adjectives using the suffix '-st' to adjectives ending in '–e'.,I always watch the latest music videos from there.,
135,A2,ADJECTIVES,superlatives,FORM: WITH '-EST' ,"Can form superlative adjectives by adding the suffix '-est', to adjectives of one syllable.",… it's the biggest and oldest museum in Libya.,
136,A2,ADJECTIVES,superlatives,"FORM: ELLIPSIS, WITH 'THE'","Can use 'the' with a limited range of superlative adjectives without a following noun, when the noun is understood.",My relatives gave me presents but the computer game was the best.,1.0
137,A2,ADJECTIVES,superlatives,FORM: WITH 'THE MOST',"Can form superlative adjective phrases using 'the most', with longer adjectives of two or more syllables.",We love football competitions because here in Uruguay football is the most popular sport.,
138,A2,ADVERBS,adverb phrases - form,FORM: ADVERB + ADVERB,"Can modify a limited range of adverbs of time, degree, and manner with other adverbs.",I love it so much.,1.0
139,A2,ADVERBS,adverbs and adverb phrases: types and meanings,USE: DEGREE WITH VERBS,"Can use a limited range of adverbs and adverb phrases ('so much', 'a lot') with verbs to indicate degree or intensity. ► determiners",I am looking forward to seeing you so much!,1.0
140,A2,ADVERBS,adverbs and adverb phrases: types and meanings,USE: LINKING,"Can use a limited range of adverbs ('also', 'so', 'however') to show a relationship between two clauses or sentences.",I also bought some t-shirts.,1.0
141,A2,ADVERBS,adverbs and adverb phrases: types and meanings,USE: TIME,"Can use a limited range of adverbs ('yesterday', 'just', 'now', 'already',) to refer to the timing of an event.",Yesterday I went shopping.,1.0
142,A2,ADVERBS,adverbs and adverb phrases: types and meanings,USE: MANNER,Can use a limited range of manner adverbs and adverb phrases to modify how something happens.,… both the players played well.,1.0
143,A2,ADVERBS,adverbs and adverb phrases: types and meanings,USE: FREQUENCY ,"Can use an increasing range of adverbs ('usually', 'often', 'never', 'weekly') to talk about frequency.",People usually try to eat their breakfast between 7 and 9 am.,2.0
144,A2,ADVERBS,adverbs and adverb phrases: types and meanings,"USE: DEGREE, WITH ADJECTIVES","Can use a limited range of degree adverbs ('so', 'quite', 'too') to modify adjectives.",I went to Vinpearland. It's so beautiful.,1.0
145,A2,ADVERBS,adverbs and adverb phrases: types and meanings,USE: FOCUS,"Can use a limited range of adverbs ('only', 'just') to focus on or point to something.",[talking about  a class] It's only two hours.,1.0
146,A2,ADVERBS,adverbs and adverb phrases: types and meanings,USE: SEQUENCING,"Can use a limited range of adverbs and adverb phrases ('first', 'then', 'after that') to order segments of discourse.",,1.0
147,A2,ADVERBS,adverbs and adverb phrases: types and meanings,USE: STANCE,"Can use a limited range of adverbs ('actually', 'unfortunately', 'of course', 'I’m sorry') to indicate an attitude or viewpoint.",It's very nice that you're going to help me to paint my bedroom. Actually I want you to decide what colour that my room should be.,1.0
148,A2,ADVERBS,adverbs and adverb phrases: types and meanings,USE: CERTAINTY,"Can use a limited range of adverbs ('maybe', 'perhaps') to indicate degrees of certainty.","Or maybe we can walk to there, because it's not far from my house.",1.0
149,A2,ADVERBS,adverbs as modifiers,"FORM: TIME  and SEQUENCING, MODIFYING CLAUSES",Can use time and sequencing adverbs to modify clauses and sentences.,Yesterday I went shopping and bought some clothes.,
150,A2,ADVERBS,adverbs as modifiers,"FORM: MANNER, MODIFYING VERBS",Can use a limited range of manner adverbs to modify verbs.,I really liked it because all the candidates were professional and swam very fast.,1.0
151,A2,ADVERBS,adverbs as modifiers,"FORM: DEGREE, MODIFYING ADJECTIVES",Can use a range of degree adverbs to modify common gradable adjectives.,I'm so happy because you can come!,
152,A2,ADVERBS,position,"FORM: END POSITION, MANNER",Can use manner adverbs in the usual end position.,Please answer me quickly because there are only eleven tickets.,2.0
153,A2,ADVERBS,position,FORM: MID POSITION,"Can use adverbs in mid position between the subject and the main verb and after modal verbs, auxiliary verbs and 'be'.","I bought it because it is very pretty, but it wasn't expensive, I only spent thirty pounds!",
154,A2,ADVERBS,position,"FORM: DEGREE, BEFORE ADJECTIVES ",Can use an increasing range of degree adverbs before an adjective.,I'm so glad you are coming.,2.0
155,A2,ADVERBS,position,FORM: FRONT POSITION,Can use an increasing range of adverbs in front position.,"[talking about taking a language course] However I can study only on Monday, Tuesday and Wednesday, because I am working in the restaurant.",2.0
156,A2,ADVERBS,position,"FORM: DEGREE, END POSITION",Can use degree adverbs in end position.,I miss you a lot.,2.0
157,A2,ADVERBS,position,"FORM: SENTENCE ADVERB,  FRONT POSITION","Can use evaluative, viewpoint and sequencing adverbs outside the clause, in front position, as a cohesive device to link to a previous statement in a preceding clause.",It's very nice that you're going to help me to paint my bedroom. Actually I want you to decide what colour that my room should be.,1.0
158,A2,CLAUSES,comparatives,FORM: 'BE LIKE' + NOUN OR PRONOUN,Can use 'be' + 'like' + noun or pronoun.,I like her because she is like me.,
159,A2,CLAUSES,conditional,"USE: 'IF' CLAUSE + IMPERATIVE, HEDGING","Can use an 'if-' clause ('if you want', 'like', 'prefer') to soften the directness of imperatives, offers or suggestions.",Bring some films if you want.,
160,A2,CLAUSES,conditional,"FORM/USE: PRESENT SIMPLE 'IF' CLAUSE, REAL CONDITIONS","Can use 'if' + present simple with present simple, 'can' or imperative in the main clause to refer to things that are true now or very likely to happen.",If I have spare time I always read a book.,
161,A2,CLAUSES,conditional,FORM: PRESENT SIMPLE 'IF' CLAUSE + IMPERATIVE,"Can use 'if' + present simple, with an imperative in the main clause.","If you find it, call me.",
162,A2,CLAUSES,conditional,FORM: 'IF' + PRESENT SIMPLE,Can form conditional subordinate clause with 'if' + present simple.,"It is 3 hours long, and if you want to pass it you will have to study very hard, it is very difficult.",
